capture.id,animal.id,capture.season.2,bolus,herd,age.month,condition,pregnant,milk,calf.at.heel,tb.status,age.horn.residual,BHV.exposure,PI3.exposure,AD3.exposure,BRSV.Exposure,MH.exposure,MB.exposure
R22-0511,R22,dry,bolus,Crocodile Bridge,76,3,early,no,no,0,77.0878,0,0,0,0,1,1
R51-0511,R51,dry,bolus,Crocodile Bridge,73,3.25,no,yes,yes,1,66.79,0,0,0,0,1,0
W2-0511,W2,dry,bolus,Crocodile Bridge,62,3.5,no,no,no,0,76.22965,0,0,0,0,0,0
R1-0511,R1,dry,bolus,Crocodile Bridge,86,3.25,no,yes,yes,0,71.08075,0,0,0,0,0,1
R13-0511,R13,dry,control,Crocodile Bridge,77,3.25,no,yes,yes,0,70.2226,0,0,0,0,0,1
R17-0511,R17,dry,bolus,Crocodile Bridge,98,1.75,no,yes,yes,1,66.79,0,0,0,0,0,1
R35-0511,R35,dry,bolus,Crocodile Bridge,92,1.5,no,yes,yes,0,76.22965,0,0,0,0,0,0
R4c-0511,R4c,dry,bolus,Crocodile Bridge,152,2.5,no,yes,yes,1,65.93185,0,0,0,0,0,0
Y3-0511,Y3,dry,control,Crocodile Bridge,116,3.75,no,no,no,1,51.3433,0,0,0,0,0,0
Y33b-0511,Y33b,dry,control,Crocodile Bridge,74,2.5,no,no,no,1,80.5204,0,0,1,0,0,0
Y6-0511,Y6,dry,bolus,Crocodile Bridge,74,3.5,no,no,no,0,58.2085,0,0,0,0,0,0
R30-0611,R30,dry,bolus,Crocodile Bridge,92,3.25,mid,no,no,0,65.0737,0,0,0,0,0,0
R43-0611,R43,dry,control,Crocodile Bridge,152,3,early,no,no,0,65.93185,0,0,0,0,0,0
Y18-0611,Y18,dry,bolus,Crocodile Bridge,140,2.25,no,yes,yes,0,66.79,0,0,0,0,0,0
Y27-0611,Y27,dry,bolus,Crocodile Bridge,86,3.5,no,no,no,0,77.94595,0,0,0,0,0,0
B13b-0611,B13b,dry,control,Lower Sabie,65,3,no,no,no,0,64.21555,0,0,0,0,0,0
B37-0611,B37,dry,control,Lower Sabie,75,3,early,no,no,1,73.6552,0,0,0,0,0,1
B36b-0611,B36b,dry,bolus,Lower Sabie,72,2.75,early,no,no,0,68.5063,0,0,0,0,0,0
B57-0611,B57,dry,control,Lower Sabie,76,3.25,no,yes,yes,1,84.81115,0,0,0,0,1,0
B27-0611,B27,dry,bolus,Lower Sabie,65,3,early,no,no,1,81.37855,0,0,0,0,0,0
B44-0611,B44,dry,bolus,Lower Sabie,75,3,early,no,no,0,75.3715,0,0,0,0,0,1
B46-0611,B46,dry,bolus,Lower Sabie,96,2.25,early,yes,yes,0,61.6411,0,0,0,0,0,0
B5-0611,B5,dry,control,Lower Sabie,66,2.75,no,yes,yes,0,80.5204,0,0,0,0,0,0
O20-0611,O20,dry,bolus,Lower Sabie,65,2,no,no,no,0,71.9389,0,0,0,0,0,0
O4-0611,O4,dry,control,Lower Sabie,60,3.5,early,no,no,1,61.6411,0,0,0,0,0,0
O45b-0611,O45b,dry,control,Lower Sabie,87,3,early/mid,no,no,0,55.63405,0,0,0,0,0,0
O7-0611,O7,dry,bolus,Lower Sabie,76,3,no,no,no,1,79.66225,0,0,0,0,0,0
B31-0611,B31,dry,control,Lower Sabie,53,3.5,early,no,no,0,70.2226,0,0,0,0,0,0
B43-0611,B43,dry,control,Lower Sabie,132,2.75,no,yes,yes,0,68.5063,0,0,0,0,0,0
O50-0611,O50,dry,bolus,Lower Sabie,77,2.75,late,no,no,1,63.3574,0,0,0,0,0,0
B1-0611,B1,dry,control,Lower Sabie,75,4,mid,no,no,1,75.3715,0,0,0,0,0,0
B20-0611,B20,dry,control,Lower Sabie,66,2.5,no,yes,yes,0,59.9248,0,0,0,0,0,0
B23-0611,B23,dry,bolus,Lower Sabie,156,3.5,no,no,no,0,78.8041,0,0,0,0,0,0
O12-0611,O12,dry,control,Lower Sabie,90,3.5,late,yes,no,0,70.2226,0,0,0,0,0,0
O24-0611,O24,dry,bolus,Lower Sabie,78,3.75,no,yes,yes,1,68.5063,0,0,0,0,0,0
O37-0611,O37,dry,bolus,Lower Sabie,65,2.5,early,no,no,1,67.64815,0,0,0,0,0,0
O17b-0611,O17b,dry,bolus,Lower Sabie,53,2.75,no,no,no,0,70.2226,0,0,0,0,0,0
B38-0611,B38,dry,bolus,Lower Sabie,192,2.5,no,yes,yes,1,64.21555,0,0,0,0,0,0
O29b-0611,O29b,dry,control,Lower Sabie,56,1.75,no,yes,yes,0,68.5063,0,0,0,0,0,0
O41-0611,O41,dry,control,Lower Sabie,78,3.5,no,no,no,0,77.0878,1,0,0,0,0,0
B24-0611,B24,dry,bolus,Lower Sabie,108,2.5,no,yes,yes,0,77.0878,0,0,0,0,0,0
O13-0611,O13,dry,control,Lower Sabie,120,2.25,late,no,no,0,72.79705,0,0,0,0,0,0
O40-0611,O40,dry,control,Lower Sabie,96,3,early,yes,yes,0,59.9248,1,0,0,0,0,0
B17-0611,B17,dry,bolus,Lower Sabie,99,3.5,late,no,no,0,62.49925,0,1,1,0,0,0
B34-0611,B34,dry,bolus,Lower Sabie,64,3.25,no,no,no,1,70.2226,0,0,0,0,0,1
B42b-0611,B42b,dry,control,Lower Sabie,54,3.5,mid,no,no,1,67.64815,0,0,0,0,0,0
B48b-0611,B48b,dry,bolus,Lower Sabie,78,3.5,early,no,no,0,65.0737,0,0,0,1,1,0
O31-0611,O31,dry,control,Lower Sabie,66,3.25,no,no,no,1,71.08075,1,0,0,0,0,1
O44-0611,O44,dry,bolus,Lower Sabie,81,3.5,early,no,no,0,70.2226,0,0,0,0,0,0
O30-0611,O30,dry,control,Lower Sabie,78,2.5,no,yes,yes,0,70.2226,0,0,0,1,0,0
R38-0611,R38,dry,bolus,Crocodile Bridge,91,2.75,early,no,no,1,72.79705,0,0,0,0,0,0
O15-0611,O15,dry,bolus,Lower Sabie,99,3,no,yes,yes,1,66.79,0,0,0,0,0,0
O25-0611,O25,dry,bolus,Lower Sabie,81,3,no,yes,yes,0,77.0878,0,0,0,0,0,0
Y40-0711,Y40,dry,control,Crocodile Bridge,63,3.75,no,no,no,0,66.79,0,0,0,0,0,0
O48-0711,O48,dry,bolus,Lower Sabie,76,2.5,early,yes,yes,1,71.9389,0,0,0,0,0,0
B35-0711,B35,dry,bolus,Lower Sabie,72,3,no,yes,yes,0,58.2085,0,0,0,0,0,1
