Longitude,Latitude,Sorex_araneus,Sorex_minutus,Crocidura_russula,Crocidura_leucodon,Suncus_etruscus,Sorex_coronatus,Crocidura_suaveolens,Bio01,Bio02,Bio08,Bio15,Bio18,Bio19
15.97195159,46.61462092,1,0,0,0,0,0,0,9.27680079,9.361763013,18.53827346,37.81436581,330.3125,119.25
15.51646378,46.63898376,1,0,0,0,0,0,0,8.867767386,9.154503476,18.02879867,40.54820006,386.0833333,128.9166666
12.31953002,46.7553929,1,0,0,0,0,0,0,1.254978305,7.092092029,9.054059058,31.08873278,437.4166666,198.5
16.00758225,46.92858745,1,0,0,1,0,0,1,9.27680079,9.361763013,18.53827346,37.81436581,330.3125,119.25
14.17275723,47.01504762,1,0,0,0,0,0,0,3.859935194,7.942833288,11.89694909,29.53007184,496.8888888,234.6666666
10.48865566,46.7792388,1,1,0,0,0,0,0,0.833408852,7.476602435,8.517232605,23.38859887,286.4166666,170.4166666
15.09085368,46.97570649,1,0,0,0,0,0,0,7.023026048,8.826244815,15.76463024,35.72178244,423.375,162.375
12.3334354,47.07033134,1,1,0,0,0,0,0,2.529587977,7.34235187,10.455838,30.51349695,468,224.1111111
13.71327191,47.03179601,1,0,0,0,0,0,0,3.256109353,7.569274284,11.12679163,28.47478849,533.8333333,261.5833333
13.25353597,47.0465938,1,0,0,0,0,0,0,3.062891209,7.38268054,10.93143986,29.70141499,535.5555555,260.2222222
14.63196132,46.99635044,1,0,0,0,0,0,0,6.418158871,9.11352952,15.24224658,32.56905595,419.9166666,176
15.54940403,46.95311802,1,0,0,0,0,0,0,8.867767386,9.154503476,18.02879867,40.54820006,386.0833333,128.9166666
10.49158749,47.09434253,1,0,0,0,0,0,0,3.391759236,7.600879613,11.0332638,27.61281393,421.4444444,225.6666666
12.79358017,47.05943937,1,0,0,0,0,0,0,2.619288188,7.466071751,10.54474997,29.80769767,476.5555555,234.4444444
10.03096411,47.09545288,1,0,1,0,0,0,0,5.75232198,7.89434849,13.53723488,26.07578702,496.3636363,277.9090909
11.41270296,47.08624989,1,0,0,0,0,0,0,3.87807405,7.579055529,11.69134709,34.49044293,440.7777777,187.1111111
8.188761994,47.08032091,1,1,1,0,0,0,0,8.959087967,8.23683805,17.38520376,16.34707887,394.5555555,286
16.46535841,46.90211742,1,1,0,1,0,0,1,9.815508682,9.506802035,19.07153126,32.19829135,255.75,110.0833333
16.50426159,47.21582931,1,0,0,1,0,0,1,9.592144646,9.091789283,18.82097682,34.89015498,245.8888888,98.33333333
16.04376354,47.242483,1,0,0,0,0,0,0,9.151885387,9.07522448,18.23956938,37.21763346,283.6666666,105.7777777
11.87313264,47.0792685,1,0,0,0,0,0,0,3.325326395,7.449927091,11.25867709,32.70806855,454.75,202.1666666
14.65992237,47.31071723,1,0,0,0,0,0,0,4.384605347,8.066784748,12.57236119,31.31405529,463.6666666,208.5555555
14.19796238,47.32954471,1,0,0,0,0,0,0,3.859935194,7.942833288,11.89694909,29.53007184,496.8888888,234.6666666
15.58285388,47.26718399,1,0,0,0,0,0,0,7.448626179,8.749539365,16.11825005,40.27076771,385.6666666,137.2222222
12.34755696,47.38521437,1,1,1,0,0,0,0,2.529587977,7.34235187,10.455838,30.51349695,468,224.1111111
10.03115166,47.41051163,1,0,0,0,0,0,0,7.91165193,8.109914918,16.15216323,26.03794155,479.8333333,264
11.42125706,47.40124425,1,0,0,0,0,0,0,6.271254607,7.934018518,14.20601846,36.04793108,495.3333333,208.1111111
10.49456494,47.4093935,1,1,0,0,0,0,0,6.093370366,8.337958344,14.05509258,31.4216358,494.5555555,241.1111111
13.73571442,47.34640991,1,0,0,0,0,0,0,3.256109353,7.569274284,11.12679163,28.47478849,533.8333333,261.5833333
9.567736233,47.40965852,1,0,1,1,0,0,0,8.930493061,7.700574049,17.20380558,29.26500129,390.4444444,194
11.88447199,47.39421402,1,0,0,0,0,0,0,3.325326395,7.449927091,11.25867709,32.70806855,454.75,202.1666666
13.27320984,47.36131099,1,0,0,0,0,0,0,3.062891209,7.38268054,10.93143986,29.70141499,535.5555555,260.2222222
16.54376916,47.52946929,1,1,0,1,0,0,1,9.62935989,8.688215192,18.10138877,33.47410026,228.7777777,96
15.61682453,47.58118372,1,0,0,0,0,0,0,5.591505772,7.999974541,13.87858329,33.0465825,423.8888888,190.4444444
16.08050758,47.55630959,1,0,0,0,0,0,0,8.745995376,8.680907397,17.57597686,34.73920968,277.8888888,112.8888888
14.68831959,47.62502263,1,0,0,0,0,0,0,4.996618064,7.597236117,13.14561114,31.66640499,438.8888888,205.3333333
14.223561,47.6439825,1,1,0,0,0,1,0,4.643109945,7.70942823,12.7363102,30.00564254,465.1111111,228.5555555
13.75850753,47.66096641,1,0,0,0,0,0,0,4.764604156,7.826743042,12.81623262,29.42655404,518,263.75
13.29319127,47.67597244,1,1,0,0,0,0,0,5.600292816,7.936826359,13.68056943,32.22138508,532.6666666,262.1111111
9.565093067,47.72466104,1,0,0,0,0,0,0,8.930493061,7.700574049,17.20380558,29.26500129,390.4444444,194
