length,gravid,zebra,month,weight
57.5,n,n,h,-0.437449588
59.5,n,y,h,0.810551168
48.5,n,n,h,0.160229533
61,n,n,h,0.283396259
56.5,n,y,h,-0.295149609
59.5,y,n,h,0.979551168
45.5,n,n,h,-0.178539351
58.5,y,n,h,-0.248825033
80.5,n,y,i,0.074440729
68.5,n,n,i,0.018164294
77,n,n,i,-0.885599676
68.5,n,n,i,-0.435835706
75.5,n,n,i,-0.635821249
72,n,n,i,0.486195968
78,n,n,i,0.010329323
79.5,y,n,i,1.352456329
82,n,y,i,-0.870172177
75,y,n,i,0.609305028
72,n,n,i,-0.126804032
68,n,n,i,0.770857622
77,y,n,i,-2.334599676
74.5,n,n,i,-0.911598807
77.5,n,n,i,-0.672065362
76,y,n,i,0.288000474
81.5,y,n,i,0.384340014
66.5,y,n,i,-0.118321892
74.5,n,n,i,-0.984598807
66.5,y,n,i,0.453678108
75.5,n,y,i,0.899178751
71.5,n,n,i,1.628570736
82.5,y,n,i,0.804978441
72,n,y,i,-1.311804032
76.5,n,n,i,0.4877483
72.5,n,n,i,1.070922272
74.5,n,y,i,-0.575598807
68.5,y,n,i,-0.004835706
70.5,n,n,i,-0.930289163
72.5,n,n,i,-2.031077728
81.5,n,n,i,-1.162659986
78,y,n,i,-0.912670677
64.5,y,n,i,0.810645743
75,y,n,i,-1.493694972
74.5,y,n,i,1.967401193
67.5,n,n,i,0.244826517
70,y,n,i,1.783519824
65.5,n,n,i,-0.265106814
74.5,n,n,i,-1.623598807
62.5,n,n,i,0.593458607
61.5,n,n,i,0.651866236
60.5,n,n,i,-0.167494016
64,n,n,i,-0.249847086
59.5,n,y,i,-1.128448832
59.5,n,y,i,-0.115448832
56.5,n,n,i,0.277850391
55,n,n,i,0.235161682
64.5,n,y,i,1.089645743
60.5,y,y,i,0.202505984
56,n,n,i,-0.021848934
58.5,n,n,i,-0.691825033
48.5,n,n,i,-0.449770467
62.5,n,n,i,-0.387541393
50.5,n,n,i,-0.053271941
50,n,n,i,0.531000883
50.5,y,n,i,-0.289271941
51,n,n,i,-1.070512156
41.5,n,n,i,-0.136622155
59.5,y,n,i,-0.775448832
34,n,n,i,-0.062177401
84.5,n,n,j,1.170769209
82,y,n,j,-0.232172177
67,y,n,j,-0.341907244
85,y,n,j,-0.324096029
82,y,n,j,0.266827823
72.5,n,n,j,0.011922272
70,n,y,j,-0.948480176
69,n,n,j,0.630724748
75,n,y,j,-0.000694972
81,y,n,j,-0.099463008
71.5,y,n,j,1.094570736
65,y,n,j,0.71856641
75.5,n,n,j,-0.076821249
63,y,y,j,-0.929462362
66.5,n,n,j,0.287678108
73.5,n,n,j,0.001590709
70,n,y,j,-0.025480176
60,y,n,j,1.39521707
70.5,n,n,j,-1.796289163
65.5,n,n,j,1.353893186
73,n,n,j,-0.720272196
61.5,y,n,j,-0.467133764
68,y,n,j,-0.106142378
79.5,y,n,j,-0.849543671
83.5,n,n,j,-1.110819842
60.5,n,y,j,-1.175494016
67.5,y,n,j,-0.341173483
57.5,n,n,j,-0.834449588
72,y,n,j,1.387195968
71.5,n,n,j,-1.212429264
